frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
32,32.0,33268,33268.0,1939.3422791987311,1939.3422791987311,14,18,33,18,12,-1.485281374238184,551.0,-6.0
33,33.0,33642,33642.0,1979.9696961967006,1979.9696961967006,17,16,37,15,19,40.627416997969476,374.0,3.0
34,34.0,33861,33861.0,1992.7981233214466,1992.7981233214466,18,20,34,18,11,12.828427124745986,219.0,1.0
35,35.0,34156,34156.0,2063.567675943147,2063.567675943147,22,16,47,16,27,70.76955262170054,295.0,4.0
36,36.0,34665,34665.0,2027.5260453828048,2027.5260453828048,16,20,34,18,14,-36.041630560342355,509.0,-6.0
37,37.0,34951,34951.0,2098.6093065034897,2098.6093065034897,22,17,43,18,21,71.08326112068494,286.0,6.0
38,38.0,35151,35151.0,2045.0823945689087,2045.0823945689087,16,18,33,16,13,-53.526911934580994,200.0,-6.0
39,39.0,35640,35640.0,2131.579869251967,2131.579869251967,23,14,48,13,28,86.49747468305827,489.0,7.0
40,40.0,36112,36112.0,2103.3666658163697,2103.3666658163697,18,21,38,18,16,-28.21320343559728,472.0,-5.0
41,41.0,36515,36515.0,2111.437733628236,2111.437733628236,16,17,33,18,12,8.071067811866214,403.0,-2.0
42,42.0,36823,36823.0,2120.266160752982,2120.266160752982,16,19,32,19,12,8.828427124746213,308.0,0.0
43,43.0,37174,37174.0,2150.9940828143394,2150.9940828143394,17,17,34,17,15,30.727922061357276,351.0,1.0
44,44.0,37337,37337.0,2105.4671708797587,2105.4671708797587,13,17,25,17,7,-45.52691193458077,163.0,-4.0
45,45.0,37335,37335.0,2138.7808793787435,2138.7808793787435,15,19,29,19,9,33.31370849898485,-2.0,2.0
46,46.0,37820,37820.0,2193.964645562817,2193.964645562817,20,20,43,18,23,55.18376618407365,485.0,5.0
